ID,heading,sortid,parentid,path,heading,sortid,parentid,path
12493,H-R,62494.5,62490.5,17/3665/H2113,H-R,62494.5,62490.5,17/3665/H2113
12494,S-Z,62495.5,62490.5,17/3665/H2114,S-Z,62495.5,62490.5,17/3665/H2114
12495,(By author),62496.5,22356.5,17/3665/H2122,(By author),62496.5,22356.5,17/3665/H2122
12496,(By topic),62497.5,22356.5,17/3666/H2123,(By topic),62497.5,22356.5,17/3666/H2123
12497,(By place),62498.5,22356.5,17/3666/H2124,(By place),62498.5,22356.5,17/3666/H2124
12498,(By author),62499.5,22386.5,sub,(By author),62499.5,22386.5,sub
12499,A-L,62500.5,62499.5,17/3669/H2155,A-L,62500.5,62499.5,17/3669/H2155
12500,M-Z,62501.5,62499.5,17/3669/H2156,M-Z,62501.5,62499.5,17/3669/H2156
12501,(By topic),62502.5,22386.5,17/3669/H2157,(By topic),62502.5,22386.5,17/3669/H2157
12502,(By place),62503.5,22386.5,sub,(By place),62503.5,22386.5,sub
12503,A-F,62504.5,62503.5,17/3670/H2208,A-F,62504.5,62503.5,17/3670/H2208
12504,G-Q,62505.5,62503.5,17/3670/H2159,G-Q,62505.5,62503.5,17/3670/H2159
12505,R-T,62506.5,62503.5,17/3670/H2160,R-T,62506.5,62503.5,17/3670/H2160
12506,United States,62507.5,62503.5,sub,United States,62507.5,62503.5,sub
12507,(By author),62508.5,62507.5,17/3670/H2162,(By author),62508.5,62507.5,17/3670/H2162
12508,(By topic),62509.5,62507.5,17/3670/H2163,(By topic),62509.5,62507.5,17/3670/H2163
12509,Uruguay-Z,62510.5,62503.5,17/3670/H2164,Uruguay-Z,62510.5,62503.5,17/3670/H2164
12510,(Without subdivision),62511.5,22419.5,17/3674/H2199,(Without subdivision),62511.5,22419.5,17/3674/H2199
12511,(By topic or sub-agency),62512.5,22419.5,sub,(By topic or sub-agency),62512.5,22419.5,sub
12512,A-K,62513.5,62512.5,17/3674/H2201,A-K,62513.5,62512.5,17/3674/H2201
12513,L-Z,62514.5,62512.5,17/3674/H2202,L-Z,62514.5,62512.5,17/3674/H2202
12514,(Without subdivision),62515.5,22425.5,sub,(Without subdivision),62515.5,22425.5,sub
12515,(As author),62516.5,62515.5,sub,(As author),62516.5,62515.5,sub
12516,(By title),62517.5,62516.5,sub,(By title),62517.5,62516.5,sub
12517,A-F,62518.5,62517.5,22/3675/H2214,A-F,62518.5,62517.5,22/3675/H2214
12518,G-Q,62519.5,62517.5,22/3675/H2215,G-Q,62519.5,62517.5,22/3675/H2215
12519,R-Z,62520.5,62517.5,22/3675/H2216,R-Z,62520.5,62517.5,22/3675/H2216
12520,(As subject),62521.5,62515.5,22/3675/H2217,(As subject),62521.5,62515.5,22/3675/H2217
12521,(By topic or sub-agency),62522.5,22425.5,sub,(By topic or sub-agency),62522.5,22425.5,sub
12522,Academic Department >,62523.5,62522.5,22/3675/H2210,Academic Department >,62523.5,62522.5,22/3675/H2210
12523,Athletic association >,62524.5,62522.5,22/3675/H2219,Athletic association >,62524.5,62522.5,22/3675/H2219
12524,Cannon club >,62525.5,62522.5,22/3675/H2220,Cannon club >,62525.5,62522.5,22/3675/H2220
12525,Class of 1749 >,62526.5,62522.5,22/3675/H2221,Class of 1749 >,62526.5,62522.5,22/3675/H2221
12526,Class of 1870 >,62527.5,62522.5,22/3675/H2222,Class of 1870 >,62527.5,62522.5,22/3675/H2222
12527,Class of 1880 >,62528.5,62522.5,12/3676/H2223,Class of 1880 >,62528.5,62522.5,12/3676/H2223
12528,Class of 1890 >,62529.5,62522.5,12/3676/H2224,Class of 1890 >,62529.5,62522.5,12/3676/H2224
12529,Class of 1900 >,62530.5,62522.5,12/3676/H2225,Class of 1900 >,62530.5,62522.5,12/3676/H2225
12530,Class of 1910 >,62531.5,62522.5,12/3676/H2226,Class of 1910 >,62531.5,62522.5,12/3676/H2226
12531,Class of 1940 >,62532.5,62522.5,12/3676/H2227,Class of 1940 >,62532.5,62522.5,12/3676/H2227
12532,Cliosophic Society,62533.5,62522.5,12/3676/H2257,Cliosophic Society,62533.5,62522.5,12/3676/H2257
12533,Department of Aeronautical Engineering,62534.5,62522.5,12/3676/H2228,Department of Aeronautical Engineering,62534.5,62522.5,12/3676/H2228
12534,Department of Aerospace and Mechanical,62535.5,62522.5,12/3676/H2229,Department of Aerospace and Mechanical,62535.5,62522.5,12/3676/H2229
12535,Department of English,62536.5,62522.5,12/3676/H2230,Department of English,62536.5,62522.5,12/3676/H2230
12536,Faculty >,62537.5,62522.5,12/3677/H2231,Faculty >,62537.5,62522.5,12/3677/H2231
12537,Graduate Advisory Committee >,62538.5,62522.5,12/3677/H2232,Graduate Advisory Committee >,62538.5,62522.5,12/3677/H2232
12538,Industrial Relations Section,62539.5,62522.5,12/3677/H2233,Industrial Relations Section,62539.5,62522.5,12/3677/H2233
12539,Interclub Committee >,62540.5,62522.5,12/3677/H2234,Interclub Committee >,62540.5,62522.5,12/3677/H2234
12540,Library,62541.5,62522.5,sub,Library,62541.5,62522.5,sub
12541,(Without subdivision),62542.5,62541.5,sub,(Without subdivision),62542.5,62541.5,sub
12542,(As author),62543.5,62542.5,12/3677/H2237,(As author),62543.5,62542.5,12/3677/H2237
12543,(As subject),62544.5,62542.5,12/3677/H2238,(As subject),62544.5,62542.5,12/3677/H2238
12544,(By topic or sub-agency),62545.5,62541.5,12/3677/H2239,(By topic or sub-agency),62545.5,62541.5,12/3677/H2239
12545,Library Staff Association >,62546.5,62522.5,12/3677/H2240,Library Staff Association >,62546.5,62522.5,12/3677/H2240
12546,Portraits >,62547.5,62522.5,12/3677/H2241,Portraits >,62547.5,62522.5,12/3677/H2241
12547,Princeton Quadrangle Club >,62548.5,62522.5,1/3678/H2242,Princeton Quadrangle Club >,62548.5,62522.5,1/3678/H2242
12548,School of Architecture >,62549.5,62522.5,1/3678/H2243,School of Architecture >,62549.5,62522.5,1/3678/H2243
12549,Syllabi >,62550.5,62522.5,1/3678/H2244,Syllabi >,62550.5,62522.5,1/3678/H2244
12550,Triangle Club >,62551.5,62522.5,1/3678/H2245,Triangle Club >,62551.5,62522.5,1/3678/H2245
12551,University Research Committee >,62552.5,62522.5,1/3678/H2246,University Research Committee >,62552.5,62522.5,1/3678/H2246
12552,(By author),62553.5,22440.5,1/3680/H2263,(By author),62553.5,22440.5,1/3680/H2263
12553,(By topic),62554.5,22440.5,sub,(By topic),62554.5,22440.5,sub
12554,"Addresses, essays, lectures >",62555.5,62554.5,1/3680/H2265,"Addresses, essays, lectures >",62555.5,62554.5,1/3680/H2265
12555,History,62556.5,62554.5,sub,History,62556.5,62554.5,sub
12556,(By author),62557.5,62556.5,1/3680/H2267,(By author),62557.5,62556.5,1/3680/H2267
12557,(By topic),62558.5,62556.5,1/3680/H2268,(By topic),62558.5,62556.5,1/3680/H2268
12558,(By date),62559.5,62556.5,17/3681/H2340,(By date),62559.5,62556.5,17/3681/H2340
12559,(By place),62560.5,62556.5,sub,(By place),62560.5,62556.5,sub
12560,(By place) (info),62561.5,62556.5,info/P,(By place) (info),62561.5,62556.5,info/P
12561,A-E,62562.5,62560.5,17/3681/H2270,A-E,62562.5,62560.5,17/3681/H2270
12562,F-I,62563.5,62560.5,17/3681/H2271,F-I,62563.5,62560.5,17/3681/H2271
12563,J-N,62564.5,62560.5,17/3681/H2272,J-N,62564.5,62560.5,17/3681/H2272
12564,O-R,62565.5,62560.5,17/3681/H2273,O-R,62565.5,62560.5,17/3681/H2273
12565,S-T,62566.5,62560.5,17/3681/H2274,S-T,62566.5,62560.5,17/3681/H2274
12566,U-Z,62567.5,62560.5,17/3681/H2275,U-Z,62567.5,62560.5,17/3681/H2275
12567,Influence >,62568.5,62554.5,17/3681/H2276,Influence >,62568.5,62554.5,17/3681/H2276
12568,Specimens >,62569.5,62554.5,15/3682/H2277,Specimens >,62569.5,62554.5,15/3682/H2277
12569,(By place),62570.5,22440.5,15/3682/H2278,(By place),62570.5,22440.5,15/3682/H2278
12570,(By author),62571.5,22443.5,15/3682/H2285,(By author),62571.5,22443.5,15/3682/H2285
12571,(By topic),62572.5,22443.5,15/3682/H2286,(By topic),62572.5,22443.5,15/3682/H2286
12572,(By date),62573.5,22443.5,15/3682/H2287,(By date),62573.5,22443.5,15/3682/H2287
12573,(By place),62574.5,22443.5,15/3682/H2288,(By place),62574.5,22443.5,15/3682/H2288
12574,Collected and selected works,62575.5,22448.5,15/3683/H2293,Collected and selected works,62575.5,22448.5,15/3683/H2293
12575,Individual works,62576.5,22448.5,15/3683/H2294,Individual works,62576.5,22448.5,15/3683/H2294
12576,(By author),62577.5,22457.5,sub,(By author),62577.5,22457.5,sub
12577,Books published before 1900,62578.5,62577.5,12/3684/H2305,Books published before 1900,62578.5,62577.5,12/3684/H2305
12578,Books published 1900-,62579.5,62577.5,12/3684/H2306,Books published 1900-,62579.5,62577.5,12/3684/H2306
12579,(By topic),62580.5,22457.5,12/3684/H2307,(By topic),62580.5,22457.5,12/3684/H2307
12580,(By place),62581.5,22457.5,sub,(By place),62581.5,22457.5,sub
12581,A-J,62582.5,62581.5,12/3684/H2309,A-J,62582.5,62581.5,12/3684/H2309
12582,K-T,62583.5,62581.5,12/3684/H2310,K-T,62583.5,62581.5,12/3684/H2310
12583,U-Z,62584.5,62581.5,12/3684/H2311,U-Z,62584.5,62581.5,12/3684/H2311
12584,(By author),62585.5,22471.5,sub,(By author),62585.5,22471.5,sub
12585,A-C,62586.5,62585.5,18/3686/H2330,A-C,62586.5,62585.5,18/3686/H2330
12586,D-H,62587.5,62585.5,18/3686/H2331,D-H,62587.5,62585.5,18/3686/H2331
12587,I-N,62588.5,62585.5,18/3686/H2332,I-N,62588.5,62585.5,18/3686/H2332
12588,O-R,62589.5,62585.5,18/3686/H2333,O-R,62589.5,62585.5,18/3686/H2333
12589,S-Z,62590.5,62585.5,18/3687/H2334,S-Z,62590.5,62585.5,18/3687/H2334
12590,(By topic),62591.5,22471.5,18/3687/H2329,(By topic),62591.5,22471.5,18/3687/H2329
12591,Collected and selected works,62592.5,22512.5,14/3692/H2376,Collected and selected works,62592.5,22512.5,14/3692/H2376
12592,Individual works,62593.5,22512.5,sub,Individual works,62593.5,22512.5,sub
12593,De aedificiis,62594.5,62593.5,14/3692/H2378,De aedificiis,62594.5,62593.5,14/3692/H2378
12594,Historia,62595.5,62593.5,14/3692/H2379,Historia,62595.5,62593.5,14/3692/H2379
12595,Historia arcana,62596.5,62593.5,14/3692/H2380,Historia arcana,62596.5,62593.5,14/3692/H2380
12596,(By author),62597.5,22517.5,14/3692/H2385,(By author),62597.5,22517.5,14/3692/H2385
12597,(By topic),62598.5,22517.5,14/3692/H2386,(By topic),62598.5,22517.5,14/3692/H2386
12598,(By place),62599.5,22517.5,14/3692/H2387,(By place),62599.5,22517.5,14/3692/H2387
12599,(By place) (info),62600.5,22517.5,info/P,(By place) (info),62600.5,22517.5,info/P
12600,(By author),62601.5,22527.5,22/3694/H2398,(By author),62601.5,22527.5,22/3694/H2398
12601,(By topic),62602.5,22527.5,22/3694/H2399,(By topic),62602.5,22527.5,22/3694/H2399
12602,(By place),62603.5,22527.5,22/3694/H2400,(By place),62603.5,22527.5,22/3694/H2400
12603,(By place) (info),62604.5,22527.5,info/P,(By place) (info),62604.5,22527.5,info/P
12604,(By author),62605.5,22543.5,16/3696/H2418,(By author),62605.5,22543.5,16/3696/H2418
12605,(By topic),62606.5,22543.5,16/3696/H2419,(By topic),62606.5,22543.5,16/3696/H2419
12606,(By author),62607.5,22569.5,1/3699/H2448,(By author),62607.5,22569.5,1/3699/H2448
12607,(By topic),62608.5,22569.5,1/3699/H2447,(By topic),62608.5,22569.5,1/3699/H2447
12608,(By place),62609.5,22569.5,2/3700/H2449,(By place),62609.5,22569.5,2/3700/H2449
12609,(By author),62610.5,22577.5,2/3700/H2458,(By author),62610.5,22577.5,2/3700/H2458
12610,(By topic),62611.5,22577.5,2/3700/H2459,(By topic),62611.5,22577.5,2/3700/H2459
12611,(By place),62612.5,22577.5,2/3700/H2460,(By place),62612.5,22577.5,2/3700/H2460
12612,(By place) (info),62613.5,22577.5,info/P,(By place) (info),62613.5,22577.5,info/P
12613,(By author),62614.5,22599.5,20/3703/H2486,(By author),62614.5,22599.5,20/3703/H2486
12614,(By topic),62615.5,22599.5,20/3703/H2487,(By topic),62615.5,22599.5,20/3703/H2487
12615,(By place),62616.5,22599.5,20/3703/H2488,(By place),62616.5,22599.5,20/3703/H2488
12616,(By place) (info),62617.5,22599.5,info/P,(By place) (info),62617.5,22599.5,info/P
12617,(By author),62618.5,22605.5,1/3704/H2495,(By author),62618.5,22605.5,1/3704/H2495
12618,(By topic),62619.5,22605.5,1/3704/H2496,(By topic),62619.5,22605.5,1/3704/H2496
12619,(By author),62620.5,22607.5,1/3704/H2499,(By author),62620.5,22607.5,1/3704/H2499
12620,(By topic),62621.5,22607.5,1/3704/H2500,(By topic),62621.5,22607.5,1/3704/H2500
12621,(By place),62622.5,22607.5,1/3704/H2501,(By place),62622.5,22607.5,1/3704/H2501
12622,(Without subdivision),62623.5,22609.5,1/3704/H2504,(Without subdivision),62623.5,22609.5,1/3704/H2504
12623,(By topic or sub-agency),62624.5,22609.5,sub,(By topic or sub-agency),62624.5,22609.5,sub
12624,A-H,62625.5,62624.5,1/3704/H2506,A-H,62625.5,62624.5,1/3704/H2506
12625,I-P,62626.5,62624.5,1/3704/H2507,I-P,62626.5,62624.5,1/3704/H2507
12626,R-Z,62627.5,62624.5,1/3705/H2508,R-Z,62627.5,62624.5,1/3705/H2508
12627,(By place),62628.5,22609.5,1/3705/H2509,(By place),62628.5,22609.5,1/3705/H2509
12628,Collected and selected works,62629.5,22622.5,20/3706/H2523,Collected and selected works,62629.5,22622.5,20/3706/H2523
12629,Correspondence,62630.5,22622.5,20/3706/H2524,Correspondence,62630.5,22622.5,20/3706/H2524
12630,Individual works,62631.5,22622.5,20/3706/H2525,Individual works,62631.5,22622.5,20/3706/H2525
12631,(By author),62632.5,22623.5,20/3706/H2527,(By author),62632.5,22623.5,20/3706/H2527
12632,(By topic),62633.5,22623.5,20/3706/H2528,(By topic),62633.5,22623.5,20/3706/H2528
12633,(Without subdivision),62634.5,22648.5,1/3709/H2586,(Without subdivision),62634.5,22648.5,1/3709/H2586
12634,(By topic or sub-agency),62635.5,22648.5,sub,(By topic or sub-agency),62635.5,22648.5,sub
12635,Abgeordnetenhaus >,62636.5,62635.5,1/3709/H2556,Abgeordnetenhaus >,62636.5,62635.5,1/3709/H2556
12636,Court and courtiers >,62637.5,62635.5,1/3709/H2557,Court and courtiers >,62637.5,62635.5,1/3709/H2557
12637,History,62638.5,62635.5,sub,History,62638.5,62635.5,sub
12638,(By author),62639.5,62638.5,1/3709/H2559,(By author),62639.5,62638.5,1/3709/H2559
12639,(By topic),62640.5,62638.5,1/3709/H2560,(By topic),62640.5,62638.5,1/3709/H2560
12640,(By date),62641.5,62638.5,sub,(By date),62641.5,62638.5,sub
12641,1556-,62642.5,62641.5,1/3709/H2562,1556-,62642.5,62641.5,1/3709/H2562
12642,1815-,62643.5,62641.5,20/3710/H2563,1815-,62643.5,62641.5,20/3710/H2563
12643,"History, Military >",62644.5,62635.5,20/3710/H2587,"History, Military >",62644.5,62635.5,20/3710/H2587
12644,"Laws, statutes, etc. >",62645.5,62635.5,20/3710/H2564,"Laws, statutes, etc. >",62645.5,62635.5,20/3710/H2564
12645,Politics and government >,62646.5,62635.5,20/3710/H2565,Politics and government >,62646.5,62635.5,20/3710/H2565
12646,Religion >,62647.5,62635.5,20/3710/H2566,Religion >,62647.5,62635.5,20/3710/H2566
12647,(By title),62648.5,22655.5,sub,(By title),62648.5,22655.5,sub
12648,A-M,62649.5,62648.5,20/3710/H2575,A-M,62649.5,62648.5,20/3710/H2575
12649,N-Z,62650.5,62648.5,20/3711/H2576,N-Z,62650.5,62648.5,20/3711/H2576
12650,(By author),62651.5,22671.5,20/3712/H2597,(By author),62651.5,22671.5,20/3712/H2597
12651,(By topic),62652.5,22671.5,sub,(By topic),62652.5,22671.5,sub
12652,A-G,62653.5,62652.5,20/3713/H2600,A-G,62653.5,62652.5,20/3713/H2600
12653,H-Z,62654.5,62652.5,20/3713/H2601,H-Z,62654.5,62652.5,20/3713/H2601
12654,(By place),62655.5,22671.5,20/3713/H2599,(By place),62655.5,22671.5,20/3713/H2599
12655,(By author),62656.5,22674.5,20/3713/H2604,(By author),62656.5,22674.5,20/3713/H2604
12656,(By topic),62657.5,22674.5,20/3713/H2605,(By topic),62657.5,22674.5,20/3713/H2605
12657,(By place),62658.5,22674.5,20/3713/H2606,(By place),62658.5,22674.5,20/3713/H2606
12658,(By author),62659.5,22676.5,sub,(By author),62659.5,22676.5,sub
12659,A-E,62660.5,62659.5,20/3713/H2611,A-E,62660.5,62659.5,20/3713/H2611
12660,F-G,62661.5,62659.5,20/3713/H2612,F-G,62661.5,62659.5,20/3713/H2612
12661,H-M,62662.5,62659.5,1/3714/H2613,H-M,62662.5,62659.5,1/3714/H2613
12662,N-Z,62663.5,62659.5,1/3714/H2614,N-Z,62663.5,62659.5,1/3714/H2614
12663,(By topic),62664.5,22676.5,1/3714/H2610,(By topic),62664.5,22676.5,1/3714/H2610
12664,(By place),62665.5,22676.5,1/3714/H2615,(By place),62665.5,22676.5,1/3714/H2615
12665,(By author),62666.5,22680.5,sub,(By author),62666.5,22680.5,sub
12666,A-L,62667.5,62666.5,1/3714/H2623,A-L,62667.5,62666.5,1/3714/H2623
12667,M-Z,62668.5,62666.5,1/3715/H2683,M-Z,62668.5,62666.5,1/3715/H2683
12668,(By topic),62669.5,22680.5,1/3715/H2621,(By topic),62669.5,22680.5,1/3715/H2621
12669,(By author),62670.5,22686.5,sub,(By author),62670.5,22686.5,sub
12670,A-B,62671.5,62670.5,1/3715/H2630,A-B,62671.5,62670.5,1/3715/H2630
12671,C-E,62672.5,62670.5,1/3715/H2631,C-E,62672.5,62670.5,1/3715/H2631
12672,F-H,62673.5,62670.5,1/3716/H2632,F-H,62673.5,62670.5,1/3716/H2632
12673,I-L,62674.5,62670.5,1/3716/H2633,I-L,62674.5,62670.5,1/3716/H2633
12674,M-P,62675.5,62670.5,1/3716/H2634,M-P,62675.5,62670.5,1/3716/H2634
12675,R-T,62676.5,62670.5,1/3716/H2635,R-T,62676.5,62670.5,1/3716/H2635
12676,U-Z,62677.5,62670.5,1/3716/H2636,U-Z,62677.5,62670.5,1/3716/H2636
12677,(By topic),62678.5,22686.5,sub,(By topic),62678.5,22686.5,sub
12678,Abbreviations >,62679.5,62678.5,1/3716/H2638,Abbreviations >,62679.5,62678.5,1/3716/H2638
12679,"Addresses, essays, lectures >",62680.5,62678.5,1/3716/H2639,"Addresses, essays, lectures >",62680.5,62678.5,1/3716/H2639
12680,Bibliography >,62681.5,62678.5,1/3716/H2640,Bibliography >,62681.5,62678.5,1/3716/H2640
12681,Dictionaries >,62682.5,62678.5,1/3716/H2641,Dictionaries >,62682.5,62678.5,1/3716/H2641
12682,History >,62683.5,62678.5,1/3717/H2642,History >,62683.5,62678.5,1/3717/H2642
12683,Laboratory manuals >,62684.5,62678.5,1/3717/H2643,Laboratory manuals >,62684.5,62678.5,1/3717/H2643
12684,Periodicals >,62685.5,62678.5,1/3717/H2644,Periodicals >,62685.5,62678.5,1/3717/H2644
12685,(By date),62686.5,22686.5,1/3717/H2645,(By date),62686.5,22686.5,1/3717/H2645
12686,(By place),62687.5,22686.5,1/3717/H2646,(By place),62687.5,22686.5,1/3717/H2646
12687,(By author),62688.5,22692.5,1/3717/H2653,(By author),62688.5,22692.5,1/3717/H2653
12688,(By topic),62689.5,22692.5,1/3718/H2654,(By topic),62689.5,22692.5,1/3718/H2654
12689,(By author),62690.5,22694.5,sub,(By author),62690.5,22694.5,sub
12690,A-G,62691.5,62690.5,1/3718/H2659,A-G,62691.5,62690.5,1/3718/H2659
12691,H-R,62692.5,62690.5,1/3718/H2660,H-R,62692.5,62690.5,1/3718/H2660
12692,S-Z,62693.5,62690.5,1/3718/H2661,S-Z,62693.5,62690.5,1/3718/H2661
12693,(By topic),62694.5,22694.5,1/3718/H2657,(By topic),62694.5,22694.5,1/3718/H2657
12694,(By place),62695.5,22694.5,1/3718/H2662,(By place),62695.5,22694.5,1/3718/H2662
12695,(By author),62696.5,22696.5,sub,(By author),62696.5,22696.5,sub
12696,A-D,62697.5,62696.5,1/3718/H2667,A-D,62697.5,62696.5,1/3718/H2667
12697,E-L,62698.5,62696.5,1/3718/H2668,E-L,62698.5,62696.5,1/3718/H2668
12698,M-U,62699.5,62696.5,1/3718/H2669,M-U,62699.5,62696.5,1/3718/H2669
12699,V-Z,62700.5,62696.5,20/3719/H2670,V-Z,62700.5,62696.5,20/3719/H2670
12700,(By topic),62701.5,22696.5,20/3719/H2665,(By topic),62701.5,22696.5,20/3719/H2665
12701,(By author),62702.5,22698.5,sub,(By author),62702.5,22698.5,sub
12702,A-K,62703.5,62702.5,20/3719/H2676,A-K,62703.5,62702.5,20/3719/H2676
12703,L-Z,62704.5,62702.5,20/3719/H2677,L-Z,62704.5,62702.5,20/3719/H2677
12704,(By topic),62705.5,22698.5,20/3719/H2674,(By topic),62705.5,22698.5,20/3719/H2674
12705,(By author),62706.5,22707.5,sub,(By author),62706.5,22707.5,sub
12706,A-J,62707.5,62706.5,1/3720/H2690,A-J,62707.5,62706.5,1/3720/H2690
12707,K-Z,62708.5,62706.5,1/3720/H2691,K-Z,62708.5,62706.5,1/3720/H2691
12708,(By topic),62709.5,22707.5,1/3720/H2688,(By topic),62709.5,22707.5,1/3720/H2688
12709,(By place),62710.5,22707.5,1/3720/H2692,(By place),62710.5,22707.5,1/3720/H2692
12710,Complete and partial works,62711.5,22711.5,1/3720/H2695,Complete and partial works,62711.5,22711.5,1/3720/H2695
12711,Individual works,62712.5,22711.5,sub,Individual works,62712.5,22711.5,sub
12712,Almagestum,62713.5,62712.5,1/3720/H2697,Almagestum,62713.5,62712.5,1/3720/H2697
12713,Canon regnorum >,62714.5,62712.5,1/3720/H2698,Canon regnorum >,62714.5,62712.5,1/3720/H2698
12714,De analemmate >,62715.5,62712.5,1/3720/H2701,De analemmate >,62715.5,62712.5,1/3720/H2701
12715,Geographia,62716.5,62712.5,1/3720/H2704,Geographia,62716.5,62712.5,1/3720/H2704
12716,Harmonica,62717.5,62712.5,1/3720/H2706,Harmonica,62717.5,62712.5,1/3720/H2706
12717,Hypotheses,62718.5,62712.5,20/3721/H2707,Hypotheses,62718.5,62712.5,20/3721/H2707
12718,Optica,62719.5,62712.5,20/3721/H2710,Optica,62719.5,62712.5,20/3721/H2710
12719,Quadripartitum >,62720.5,62712.5,20/3721/H2711,Quadripartitum >,62720.5,62712.5,20/3721/H2711
12720,(By author),62721.5,22715.5,sub,(By author),62721.5,22715.5,sub
12721,A-L,62722.5,62721.5,20/3721/H2716,A-L,62722.5,62721.5,20/3721/H2716
12722,M-Z,62723.5,62721.5,20/3721/H2717,M-Z,62723.5,62721.5,20/3721/H2717
12723,(By topic),62724.5,22715.5,sub,(By topic),62724.5,22715.5,sub
12724,A-C,62725.5,62724.5,20/3721/H2719,A-C,62725.5,62724.5,20/3721/H2719
12725,D-Z,62726.5,62724.5,20/3721/H2720,D-Z,62726.5,62724.5,20/3721/H2720
12726,(By place),62727.5,22715.5,20/3721/H2721,(By place),62727.5,22715.5,20/3721/H2721
12727,(By author),62728.5,22729.5,1/3723/H2739,(By author),62728.5,22729.5,1/3723/H2739
12728,(By topic),62729.5,22729.5,1/3723/H2740,(By topic),62729.5,22729.5,1/3723/H2740
12729,(By place),62730.5,22729.5,1/3723/H2741,(By place),62730.5,22729.5,1/3723/H2741
12730,(By place) (info),62731.5,22729.5,info/P,(By place) (info),62731.5,22729.5,info/P
12731,(By author),62732.5,22734.5,1/3723/H2747,(By author),62732.5,22734.5,1/3723/H2747
12732,(By topic),62733.5,22734.5,1/3724/H2748,(By topic),62733.5,22734.5,1/3724/H2748
12733,(By place),62734.5,22734.5,sub,(By place),62734.5,22734.5,sub
12734,(By place) (info),62735.5,22734.5,info/P,(By place) (info),62735.5,22734.5,info/P
12735,A-F,62736.5,62734.5,1/3724/H2751,A-F,62736.5,62734.5,1/3724/H2751
12736,G-I,62737.5,62734.5,1/3724/H2752,G-I,62737.5,62734.5,1/3724/H2752
12737,J-T,62738.5,62734.5,1/3724/H2753,J-T,62738.5,62734.5,1/3724/H2753
12738,United States,62739.5,62734.5,sub,United States,62739.5,62734.5,sub
12739,(By author),62740.5,62739.5,sub,(By author),62740.5,62739.5,sub
12740,A-L,62741.5,62740.5,1/3724/H2757,A-L,62741.5,62740.5,1/3724/H2757
12741,M-Z,62742.5,62740.5,1/3724/H2758,M-Z,62742.5,62740.5,1/3724/H2758
12742,(By topic),62743.5,62739.5,1/3724/H2759,(By topic),62743.5,62739.5,1/3724/H2759
12743,V-Z,62744.5,62734.5,1/3724/H2755,V-Z,62744.5,62734.5,1/3724/H2755
12744,(By author),62745.5,22739.5,1/3725/H2769,(By author),62745.5,22739.5,1/3725/H2769
12745,(By topic),62746.5,22739.5,1/3725/H2770,(By topic),62746.5,22739.5,1/3725/H2770
12746,(By place),62747.5,22739.5,1/3725/H2771,(By place),62747.5,22739.5,1/3725/H2771
12747,(By author),62748.5,22741.5,1/3725/H2775,(By author),62748.5,22741.5,1/3725/H2775
12748,(By topic),62749.5,22741.5,1/3725/H2776,(By topic),62749.5,22741.5,1/3725/H2776
12749,(By place),62750.5,22741.5,1/3725/H2777,(By place),62750.5,22741.5,1/3725/H2777
12750,(By author),62751.5,22745.5,1/3726/H2781,(By author),62751.5,22745.5,1/3726/H2781
12751,(By topic),62752.5,22745.5,1/3726/H2782,(By topic),62752.5,22745.5,1/3726/H2782
12752,(By place),62753.5,22745.5,sub,(By place),62753.5,22745.5,sub
12753,(By place) (info),62754.5,22745.5,info/P,(By place) (info),62754.5,22745.5,info/P
12754,A-N,62755.5,62753.5,1/3726/H2784,A-N,62755.5,62753.5,1/3726/H2784
12755,O-T,62756.5,62753.5,1/3726/H2785,O-T,62756.5,62753.5,1/3726/H2785
12756,United States,62757.5,62753.5,sub,United States,62757.5,62753.5,sub
12757,(By author),62758.5,62757.5,1/3726/H2787,(By author),62758.5,62757.5,1/3726/H2787
12758,(By topic),62759.5,62757.5,1/3726/H2788,(By topic),62759.5,62757.5,1/3726/H2788
12759,Utah-Z,62760.5,62753.5,1/3726/H2789,Utah-Z,62760.5,62753.5,1/3726/H2789
12760,(By author),62761.5,22748.5,1/3726/H2793,(By author),62761.5,22748.5,1/3726/H2793
12761,(By topic),62762.5,22748.5,1/3726/H2794,(By topic),62762.5,22748.5,1/3726/H2794
12762,(By place),62763.5,22748.5,sub,(By place),62763.5,22748.5,sub
12763,(By place) (info),62764.5,22748.5,info/P,(By place) (info),62764.5,22748.5,info/P
12764,A-I,62765.5,62763.5,1/3726/H2796,A-I,62765.5,62763.5,1/3726/H2796
12765,J-Uganda,62766.5,62763.5,1/3727/H2797,J-Uganda,62766.5,62763.5,1/3727/H2797
12766,United States,62767.5,62763.5,sub,United States,62767.5,62763.5,sub
12767,(By author),62768.5,62767.5,1/3727/H3000,(By author),62768.5,62767.5,1/3727/H3000
12768,(By topic),62769.5,62767.5,1/3727/H3001,(By topic),62769.5,62767.5,1/3727/H3001
12769,Utah-Z,62770.5,62763.5,1/3727/H2799,Utah-Z,62770.5,62763.5,1/3727/H2799
12770,(By author),62771.5,22755.5,1/3728/H3009,(By author),62771.5,22755.5,1/3728/H3009
12771,(By topic),62772.5,22755.5,1/3728/H3010,(By topic),62772.5,22755.5,1/3728/H3010
12772,(By place),62773.5,22755.5,sub,(By place),62773.5,22755.5,sub
